customer_id,age,gender,annual_income,occupation,education,marital_status,city_tier,existing_investment_amount,number_of_dependents,risk_appetite,credit_score,customer_tenure_months,app_usage_minutes_per_week,marketing_calls_received,email_open_rate,past_sip_holder,invested
QMF00001,60,Male,824000,Self-Employed,Graduate,Married,Tier-2,612000,1,Medium,647,6,33,3,0.447,0,1
QMF00002,50,Male,399000,Salaried,Graduate,Single,Tier-1,102000,2,High,692,23,30,4,0.481,0,1
QMF00003,36,Female,280000,Salaried,Graduate,Married,Tier-1,305000,0,High,753,10,15,3,0.132,0,0
QMF00004,64,Male,970000,Retired,Graduate,Married,Tier-2,200000,0,High,716,51,100,3,0.225,0,1
QMF00005,29,Male,399000,Salaried,Post-Graduate,Single,Tier-1,104000,0,Low,722,19,42,4,0.793,0,0
QMF00006,42,Male,659000,Retired,Graduate,Married,Tier-1,128000,0,High,483,51,9,4,0.319,0,0
QMF00007,60,Male,273000,Salaried,Graduate,Single,Tier-3,22000,1,Medium,550,68,50,3,0.259,0,0
QMF00008,40,Male,371000,Salaried,Graduate,Married,Tier-2,416000,3,Low,616,42,25,1,0.136,0,0
QMF00009,44,Female,183000,Salaried,Post-Graduate,Married,Tier-1,65000,2,Low,629,57,33,2,0.677,1,1
QMF00010,32,Male,512000,Salaried,High School,Married,Tier-3,89000,2,Low,747,68,54,0,0.15,0,0
QMF00011,32,Male,402000,Retired,Post-Graduate,Married,Tier-3,167000,2,Low,609,38,90,3,0.247,1,1
QMF00012,45,Male,221000,Salaried,Post-Graduate,Married,Tier-2,61000,1,Medium,733,62,48,3,0.084,0,0
QMF00013,57,Male,223000,Salaried,Graduate,Single,Tier-2,44000,3,High,617,7,23,1,0.291,0,0
QMF00014,61,Female,881000,Salaried,Post-Graduate,Single,Tier-3,150000,0,Medium,583,71,29,2,0.269,1,1
QMF00015,45,Male,1071000,Salaried,Graduate,Single,Tier-3,4000,1,Medium,587,50,64,4,0.305,1,1
QMF00016,24,Female,322000,Salaried,Graduate,Married,Tier-2,191000,2,High,860,52,0,2,0.353,1,1
QMF00017,43,Female,376000,Salaried,Post-Graduate,Married,Tier-1,108000,0,Low,615,26,13,5,0.117,0,0
QMF00018,23,Male,451000,Business,High School,Married,Tier-2,140000,2,High,735,26,51,4,0.091,0,1
QMF00019,45,Female,393000,Salaried,Graduate,Married,Tier-2,150000,1,Medium,555,19,0,3,0.375,1,0
QMF00020,65,Male,180000,Salaried,Post-Graduate,Single,Tier-1,112000,2,Medium,793,9,35,3,0.569,0,1
QMF00021,51,Female,458000,Salaried,Post-Graduate,Married,Tier-1,131000,1,Low,707,61,30,4,0.741,1,0
QMF00022,59,Male,180000,Salaried,Graduate,Married,Tier-3,173000,0,Medium,701,20,71,3,0.281,0,0
QMF00023,23,Female,242000,Retired,Graduate,Married,Tier-2,210000,2,Low,713,50,37,2,0.575,1,0
QMF00024,42,Male,478000,Salaried,Graduate,Single,Tier-1,195000,1,Medium,721,22,80,6,0.237,1,0
QMF00025,54,Male,504000,Salaried,Graduate,Married,Tier-2,306000,1,Low,744,13,47,1,0.858,0,0
QMF00026,33,Male,232000,Self-Employed,Graduate,Married,Tier-1,32000,0,High,632,12,98,3,0.427,0,0
QMF00027,43,Female,281000,Salaried,Graduate,Married,Tier-1,77000,2,Medium,627,10,3,2,0.394,0,0
QMF00028,65,Female,261000,Salaried,Graduate,Married,Tier-2,443000,2,Low,683,65,93,4,0.575,0,0
QMF00029,46,Female,342000,Retired,Post-Graduate,Married,Tier-1,76000,1,Medium,734,30,32,2,0.404,0,0
QMF00030,48,Male,357000,Business,Post-Graduate,Married,Tier-1,20000,4,Low,674,8,89,3,0.449,0,1
QMF00031,63,Female,523000,Retired,High School,Single,Tier-3,112000,3,Medium,741,21,80,2,0.448,1,1
QMF00032,49,Male,273000,Salaried,Graduate,Married,Tier-1,17000,2,High,729,22,0,2,0.911,1,1
QMF00033,37,Male,445000,Salaried,Post-Graduate,Single,Tier-1,34000,2,Medium,662,18,59,3,0.57,0,0
QMF00034,36,Male,479000,Salaried,High School,Single,Tier-3,958000,1,Low,540,66,74,3,0.568,0,1
QMF00035,65,Female,404000,Salaried,Post-Graduate,Single,Tier-2,117000,2,Medium,639,48,84,4,0.177,1,0
QMF00036,24,Male,314000,Business,Graduate,Married,Tier-2,50000,0,Medium,819,44,9,4,0.089,1,1
QMF00037,58,Male,400000,Salaried,Post-Graduate,Married,Tier-3,788000,0,High,707,9,62,2,0.681,1,1
QMF00038,28,Female,548000,Business,Graduate,Married,Tier-1,510000,4,Low,628,67,50,2,0.263,0,0
QMF00039,42,Male,575000,Self-Employed,Graduate,Single,Tier-2,87000,2,Medium,700,54,57,4,0.94,1,1
